rainfall,river_level,humidity,month,wind_speed,temperature,soil_moisture,elevation,drainage_density,land_use_index,risk_level
132.99,9.51,96.83,3,30.14,23.19,60.83,366.53,4.11,9.78,1
174.59,12.65,88.89,3,23.84,37.32,67.47,717.93,7.0,2.1,2
108.44,7.84,78.67,12,54.46,26.21,43.46,190.85,1.16,6.42,1
120.99,5.06,93.07,7,22.1,33.2,63.37,98.46,2.09,3.73,1
109.15,11.11,73.7,12,24.25,27.18,63.22,550.56,8.13,4.64,1
106.21,5.23,87.01,5,11.2,27.09,55.03,131.84,7.84,2.23,1
70.6,9.5,64.48,4,24.3,20.03,39.6,105.55,2.14,8.78,1
167.56,11.59,106.66,8,8.98,27.47,74.84,381.96,4.94,3.29,2
97.67,8.28,96.59,12,30.47,28.71,61.16,501.13,1.95,9.89,2
54.69,9.96,68.43,8,18.08,24.38,46.61,191.85,4.15,7.97,1
81.92,6.83,71.61,12,7.27,21.09,53.82,620.41,3.05,9.78,1
56.6,3.09,68.98,4,35.67,24.86,44.66,524.63,6.42,6.24,0
286.04,6.79,110.0,6,26.11,19.78,73.48,496.15,7.08,5.46,2
224.25,10.92,110.0,8,20.63,26.51,68.31,416.82,2.63,1.48,3
132.27,9.58,84.53,3,30.09,26.61,53.44,187.52,4.72,7.82,1
159.81,3.86,85.14,10,14.71,30.01,68.07,124.28,7.54,9.93,1
98.17,7.36,97.09,9,15.97,28.6,77.39,83.41,7.85,1.32,2
98.84,5.75,98.51,4,50.84,22.73,50.97,370.36,8.02,2.95,1
160.31,3.99,81.43,7,19.96,23.03,60.83,386.74,1.58,6.22,1
187.98,11.59,103.17,6,13.82,28.89,71.82,491.84,9.84,2.89,2
165.23,8.29,94.25,11,25.68,21.81,57.63,282.0,2.56,6.74,2
61.01,10.81,82.78,11,48.08,26.52,31.55,418.3,3.46,5.66,1
158.84,10.42,89.55,5,32.68,23.16,71.61,438.01,1.45,9.14,2
237.09,5.18,97.63,5,42.39,23.63,76.48,35.67,3.54,3.36,2
225.18,9.9,97.51,8,17.87,32.46,77.32,314.61,6.06,4.11,2
134.71,8.42,79.53,10,36.22,19.68,60.14,184.34,7.58,9.83,1
112.95,7.64,78.53,2,12.15,25.4,57.48,336.29,1.8,7.15,1
186.46,8.28,94.11,2,20.14,26.2,89.23,149.19,9.51,8.65,2
124.63,8.67,87.28,3,32.9,25.1,52.56,254.99,3.33,2.48,1
133.55,9.3,92.29,2,66.29,23.54,48.0,238.71,9.18,5.85,1
50.26,7.45,79.76,4,28.21,25.57,27.57,188.53,6.78,2.76,0
287.49,7.31,110.0,6,31.97,17.17,106.31,116.17,2.66,9.05,3
113.89,5.8,88.39,7,36.21,25.96,63.95,375.65,3.91,9.97,1
440.22,8.33,110.0,9,49.71,22.38,101.12,441.36,7.39,3.83,3
232.65,8.44,104.8,8,24.71,22.51,93.87,368.66,4.78,9.15,3
95.98,7.74,87.61,1,29.91,28.98,60.43,351.59,3.93,7.18,1
44.76,9.07,91.64,6,29.66,29.36,40.16,78.94,7.87,4.67,1
206.74,6.71,98.33,11,25.74,26.41,88.15,235.29,5.14,8.78,2
96.61,5.37,98.63,3,31.85,23.89,62.99,524.55,8.56,9.84,1
132.43,8.9,95.33,1,7.99,17.64,62.0,33.9,5.22,3.71,2
135.29,6.21,87.04,7,31.92,29.75,80.96,494.86,3.57,4.86,1
200.94,7.74,103.99,9,31.51,24.68,64.17,525.27,8.91,6.15,2
101.0,9.17,79.71,3,26.04,29.43,54.38,453.32,6.76,7.09,1
63.28,8.14,92.04,6,52.98,23.96,38.75,134.55,4.26,5.25,1
35.01,8.44,72.97,8,21.45,17.97,44.03,357.88,8.69,1.45,0
324.26,9.08,110.0,8,12.4,22.54,84.81,317.65,2.02,4.11,3
166.54,12.42,98.11,12,20.56,23.0,66.02,549.4,3.32,7.07,2
125.36,11.18,100.0,4,35.95,23.12,70.83,106.57,4.77,7.76,2
15.71,9.6,63.79,2,14.26,19.55,42.77,72.82,2.39,2.55,0
242.9,13.87,108.29,7,23.82,27.79,95.88,107.96,2.11,6.03,3
130.39,10.53,95.65,10,15.88,34.2,56.88,202.37,4.46,5.05,2
157.19,6.22,84.4,2,23.14,23.64,64.45,233.52,2.28,9.01,2
66.59,9.49,69.64,6,18.05,22.19,45.64,453.37,8.58,6.22,1
85.2,8.06,76.38,6,8.94,25.14,57.09,466.96,4.56,3.82,1
121.7,8.75,80.13,9,35.74,22.63,36.41,557.8,9.65,4.51,1
75.41,6.25,81.32,10,33.95,32.86,50.12,529.85,2.59,5.57,1
91.82,5.25,93.28,3,26.88,26.62,52.1,523.99,6.12,6.59,1
70.51,7.41,65.29,5,34.37,26.27,44.89,411.65,1.52,7.13,1
36.61,8.75,86.41,4,19.33,26.09,38.42,135.27,7.86,4.48,0
109.65,12.42,89.25,3,33.8,30.97,54.26,77.01,8.69,4.95,2
341.73,10.95,107.44,6,31.57,36.67,101.46,477.74,7.23,2.21,3
107.4,5.31,98.45,9,23.59,22.32,73.27,134.73,1.05,9.43,2
311.48,7.61,110.0,6,25.47,32.7,89.57,311.11,6.69,6.19,3
91.11,10.86,75.18,8,24.32,24.32,37.04,151.19,3.53,8.23,2
193.18,7.55,100.0,5,58.71,28.18,66.24,433.61,2.69,7.48,2
253.41,10.37,110.0,6,15.25,12.38,106.79,142.83,9.25,7.49,3
49.46,9.84,86.35,10,10.81,21.72,29.05,422.28,9.06,6.25,1
82.51,8.67,94.72,4,34.99,24.15,55.89,601.49,4.9,9.19,1
252.45,9.89,96.34,7,17.28,32.84,69.91,467.09,2.65,3.51,2
108.36,6.49,99.99,3,31.51,24.98,51.97,165.63,4.32,4.33,1
117.82,11.42,86.06,1,33.4,28.11,46.6,536.09,1.32,4.55,2
152.4,6.79,100.0,11,15.79,23.28,90.13,74.9,2.0,5.64,2
211.34,7.29,88.62,6,23.45,23.91,48.24,393.44,8.9,1.37,2
139.69,5.0,91.59,5,19.02,21.18,65.93,39.64,3.64,7.96,1
88.7,3.99,78.89,11,24.37,25.82,49.81,480.13,3.62,2.86,0
214.77,11.4,109.94,8,30.69,21.47,83.19,678.58,9.92,5.9,3
175.87,5.03,96.14,11,34.66,26.69,63.69,663.46,9.16,2.47,1
172.95,9.15,100.0,2,33.96,21.47,75.21,316.25,5.03,2.21,2
237.87,10.14,100.0,10,32.94,24.05,84.0,249.18,6.05,8.78,3
167.48,10.19,100.0,4,18.48,13.12,79.48,799.88,7.41,9.83,2
81.08,4.7,79.33,11,26.92,25.81,48.36,393.01,4.56,9.58,1
229.56,8.56,100.0,2,44.21,23.8,70.46,397.13,1.11,1.08,2
161.01,6.7,89.06,5,20.44,29.41,63.31,229.59,9.05,1.0,1
138.9,9.67,100.0,3,17.36,10.49,87.78,228.13,3.48,6.6,2
453.31,12.62,110.0,6,31.5,27.44,115.0,342.81,9.55,6.23,3
115.7,7.17,88.64,5,56.59,28.9,55.69,555.6,9.0,5.9,1
49.73,4.1,68.82,1,30.49,18.09,51.33,458.1,8.52,3.99,0
174.81,9.49,100.0,5,11.48,16.11,78.16,145.06,4.75,5.7,2
223.16,6.83,96.54,7,39.75,28.4,67.88,542.09,8.36,3.28,2
34.64,8.18,67.04,11,16.56,28.53,26.23,430.44,1.19,3.42,0
76.78,6.23,84.21,1,20.39,25.72,53.95,326.57,4.32,9.4,1
192.45,11.22,100.0,11,31.63,30.44,87.73,76.41,2.92,6.99,3
26.39,7.0,78.22,4,24.25,15.6,41.5,61.11,8.55,1.1,0
206.36,8.94,100.0,1,40.41,25.97,94.47,278.07,2.07,9.65,3
308.3,13.23,107.91,9,29.22,30.27,110.2,284.53,6.62,6.15,3
225.35,6.31,95.43,1,17.49,16.12,87.33,488.6,8.9,6.45,2
101.36,8.75,76.03,7,38.7,25.82,54.52,231.36,7.76,1.91,1
86.59,6.97,84.51,9,43.13,18.36,57.12,486.17,4.8,4.12,1
97.48,6.46,79.16,7,54.68,29.74,42.8,481.65,1.62,4.87,1
192.31,9.99,88.4,6,24.56,20.48,86.55,173.08,6.38,8.79,2
243.76,12.56,97.15,9,31.39,23.93,85.13,318.92,4.47,9.43,3
179.99,10.02,92.61,11,28.39,20.84,80.02,103.16,7.74,9.23,2
67.27,4.63,76.49,4,21.2,33.75,57.86,349.82,8.37,1.45,0
125.68,2.86,85.81,1,15.91,23.77,66.44,152.31,9.56,8.55,1
205.21,6.63,100.0,3,31.43,32.09,87.86,361.04,2.86,8.2,3
225.11,7.19,110.0,6,41.64,22.9,98.64,277.06,6.84,9.43,3
127.02,4.2,84.18,4,17.86,25.13,39.88,164.09,7.42,1.1,1
164.88,10.22,86.33,1,31.06,29.04,72.97,162.06,5.64,5.82,2
75.14,7.06,89.88,1,35.57,19.27,37.35,490.14,1.7,8.46,1
99.69,7.95,93.77,5,12.53,13.18,46.9,413.91,4.46,5.4,1
139.17,10.05,100.0,10,19.59,26.87,49.45,274.17,6.71,6.24,2
38.09,3.75,66.95,11,33.14,20.67,22.14,289.28,4.86,5.87,0
164.93,7.53,88.14,1,15.49,26.64,77.48,535.02,4.95,9.82,2
53.04,9.66,83.55,5,26.39,30.14,47.23,382.41,8.93,7.58,1
172.64,7.65,98.48,3,25.35,23.06,67.19,634.36,5.2,1.68,2
145.07,3.73,100.0,12,37.01,23.62,78.42,569.73,5.05,5.62,1
261.22,6.91,100.0,4,32.04,25.76,89.41,423.78,6.91,7.38,2
49.61,4.3,86.46,8,14.61,27.99,58.88,329.54,5.69,4.15,0
170.35,8.53,84.51,10,19.03,32.89,56.86,618.2,6.37,6.89,1
295.18,7.91,110.0,8,15.11,20.06,103.69,522.33,8.82,7.52,3
228.24,7.16,107.97,9,24.37,27.83,84.01,500.2,6.73,3.92,2
66.51,7.49,89.71,7,41.32,29.24,43.43,802.62,7.96,7.73,1
40.75,5.37,72.07,11,31.04,29.9,40.54,440.31,4.93,7.0,0
117.15,11.77,97.81,3,16.58,37.25,50.79,182.48,8.05,6.1,2
116.91,7.58,80.34,11,26.33,31.67,61.82,469.74,4.73,4.62,1
35.16,9.02,76.18,11,35.14,26.17,26.79,435.66,5.75,2.9,0
628.24,14.41,110.0,7,27.94,22.04,115.0,254.28,9.33,6.68,3
149.15,7.16,109.11,6,15.45,28.75,80.53,394.61,8.54,2.53,2
117.83,10.84,91.86,5,13.98,20.1,90.93,500.74,1.71,7.67,2
94.1,3.82,89.9,11,25.09,26.03,62.16,455.23,8.97,2.77,1
109.84,6.3,96.05,5,52.89,26.27,68.59,174.08,1.6,9.78,1
212.79,6.17,100.0,4,10.65,24.12,67.07,322.65,9.87,2.49,2
7.38,6.32,56.14,4,16.93,22.76,34.84,428.15,2.32,4.08,0
184.85,7.29,87.13,8,20.99,31.76,73.32,192.03,1.03,2.57,2
170.4,9.29,100.0,2,15.79,20.68,60.24,498.55,8.76,3.82,2
164.63,8.8,100.0,12,30.85,24.76,58.87,445.21,2.05,8.2,2
167.03,11.49,94.76,6,33.93,33.65,71.92,302.45,4.35,6.96,2
139.87,5.58,84.21,8,31.54,27.21,59.03,267.4,8.07,3.28,1
273.86,10.67,100.0,10,32.68,37.4,100.0,470.97,7.75,2.37,3
83.34,10.22,69.48,1,40.61,21.72,37.13,499.31,6.54,7.84,1
141.58,8.88,100.0,1,20.53,35.12,65.49,379.02,9.2,5.59,1
63.48,7.7,69.51,9,16.48,23.56,50.14,273.79,7.96,9.23,1
148.84,6.33,100.0,10,20.81,25.5,63.33,396.02,9.36,4.49,1
9.44,9.59,86.06,8,29.34,21.49,34.64,403.36,6.5,7.11,0
146.32,11.18,100.0,1,38.32,20.19,59.45,433.85,9.91,3.81,2
48.92,5.77,79.81,9,32.94,22.66,37.9,382.51,3.46,4.07,0
250.15,4.11,99.03,8,12.62,26.32,91.22,548.57,1.5,1.06,2
111.47,9.92,84.63,3,12.93,30.68,45.08,256.85,8.48,2.08,1
146.11,6.53,87.86,5,9.71,18.16,84.24,66.5,2.96,1.14,1
59.42,8.58,88.07,11,35.66,31.96,26.62,213.66,6.19,5.18,1
153.4,6.97,87.12,11,10.4,27.12,86.34,418.52,3.22,4.81,2
125.48,4.81,100.19,9,64.86,17.48,69.07,265.79,8.41,8.39,1
127.6,8.37,87.89,8,28.91,17.4,34.85,577.05,4.46,5.13,1
236.93,12.1,95.15,6,21.65,22.45,80.99,415.8,3.99,9.35,3
126.77,9.73,82.53,3,21.23,25.38,56.57,468.44,8.33,6.51,1
61.68,5.93,65.51,4,15.61,30.79,51.41,95.84,9.17,2.41,0
135.26,5.51,99.34,7,17.13,29.47,63.8,415.81,4.63,7.77,1
139.5,11.09,90.75,12,33.89,26.17,61.72,505.18,3.26,8.6,2
165.3,7.67,91.29,6,26.68,24.53,73.75,392.0,2.19,4.44,2
116.45,7.49,96.7,10,13.58,13.31,48.3,208.82,3.76,5.92,1
51.03,8.48,65.33,4,21.71,20.8,34.09,79.29,3.11,8.47,1
193.76,6.0,96.69,11,26.55,23.06,63.54,93.18,8.09,3.76,1
135.46,10.61,89.99,7,30.77,29.76,54.85,105.11,4.84,8.49,2
173.33,12.94,89.89,7,30.88,24.45,61.1,399.95,1.46,5.43,3
79.34,5.04,77.71,4,23.13,31.64,50.08,305.67,4.67,2.13,0
133.5,9.31,94.24,3,11.79,18.53,52.06,173.25,7.05,8.43,1
179.56,8.59,97.82,10,10.19,32.01,63.62,311.1,2.06,2.52,2
203.89,12.81,102.4,8,26.38,23.17,94.12,508.35,2.81,9.41,3
272.85,7.05,110.0,8,25.82,20.24,84.61,102.17,3.59,1.84,2
279.34,14.03,101.8,6,25.44,28.42,88.41,54.65,2.18,6.45,3
152.13,7.73,102.31,9,11.6,23.95,77.54,43.85,6.68,4.84,2
65.92,11.07,72.06,5,13.67,33.11,61.52,262.34,9.26,4.66,1
114.94,9.14,81.79,2,33.27,25.56,57.23,213.85,7.81,1.74,1
177.91,4.85,89.42,12,26.34,28.16,74.25,488.37,5.49,3.86,1
209.08,10.52,100.0,11,26.35,19.24,83.6,622.9,5.98,8.31,3
186.25,6.87,110.0,6,26.59,19.34,79.21,324.65,8.86,9.96,2
165.57,6.7,92.92,3,12.12,31.03,81.7,467.44,2.08,6.15,2
135.45,6.98,89.87,5,27.28,28.4,74.0,275.48,3.03,5.96,1
119.12,9.31,84.82,7,53.93,30.09,65.47,345.51,8.38,1.37,1
137.87,7.91,85.14,4,25.56,32.95,67.37,371.93,6.01,4.23,1
124.29,7.84,84.33,1,26.16,19.87,70.89,266.35,4.33,5.95,1
125.73,9.35,92.54,12,8.34,20.97,61.53,835.53,4.19,4.61,1
138.61,8.55,90.17,10,25.98,34.96,56.0,198.79,2.78,2.62,1
141.02,8.49,82.14,6,20.89,27.41,53.38,282.22,6.36,8.85,1
94.84,4.66,93.06,3,17.46,29.31,57.58,232.81,6.36,1.73,1
253.58,7.41,100.0,5,42.23,36.36,86.67,360.96,3.91,9.89,3
118.23,9.28,93.86,6,23.17,26.99,59.42,416.2,3.52,2.19,1
125.57,6.67,86.54,11,18.5,23.83,67.81,242.5,2.79,3.38,1
67.84,9.46,75.59,7,29.5,23.48,49.94,203.15,6.63,6.14,1
19.16,7.91,71.96,3,16.88,28.48,21.21,121.54,4.48,1.46,0
153.17,10.43,94.92,7,7.42,25.09,57.67,570.78,2.82,3.32,2
215.49,13.05,110.0,8,23.74,11.75,97.25,73.78,2.53,2.14,3
84.36,10.2,74.25,12,16.09,26.6,47.88,10.08,7.03,6.78,2
99.9,4.44,82.44,5,25.93,25.55,58.03,99.72,8.18,7.1,1
166.27,5.36,109.84,6,59.96,30.9,70.83,375.96,6.68,7.66,2
49.87,6.65,65.82,1,14.08,21.14,50.27,760.18,6.87,5.14,0
223.66,8.16,106.88,6,16.59,16.35,102.4,378.53,5.35,4.77,3
166.82,7.06,99.51,8,25.92,35.48,88.99,265.89,1.39,7.29,2
131.78,6.69,88.73,12,31.62,24.14,51.22,348.31,3.59,1.06,1
115.69,6.96,97.46,8,28.59,20.54,64.79,521.97,2.77,1.2,1
185.47,10.91,100.0,3,43.73,32.79,72.71,108.57,8.12,4.46,2
117.74,8.27,91.24,2,37.69,27.8,51.94,233.46,8.31,1.12,1
152.73,6.4,100.0,4,32.85,36.52,55.75,939.32,3.58,8.92,2
37.19,3.94,84.36,4,26.68,35.25,41.19,412.03,9.39,6.58,0
93.98,9.64,80.37,2,10.34,24.14,49.23,549.93,6.69,7.54,1
67.42,8.15,75.19,9,42.35,29.11,50.52,421.71,2.29,6.92,1
82.7,8.04,94.67,7,36.05,23.2,84.93,576.98,2.32,7.21,2
371.14,11.0,110.0,6,28.8,19.77,104.78,223.22,1.76,7.14,3
154.97,9.19,100.0,3,31.03,21.2,72.77,45.31,7.46,5.28,2
152.07,9.71,85.46,3,27.26,28.02,56.09,648.15,9.39,9.4,2
96.05,6.64,90.38,2,22.13,21.1,51.12,485.54,7.11,6.68,1
53.09,8.15,88.88,1,18.71,19.89,43.14,133.6,5.75,2.54,1
117.83,6.18,76.71,9,22.71,24.24,51.0,298.05,4.8,8.07,1
200.89,8.22,106.25,6,20.21,29.29,72.0,460.16,3.34,1.01,2
163.84,7.28,96.21,6,28.86,28.48,100.17,570.09,7.51,3.09,2
107.29,7.57,78.72,2,41.78,20.12,60.7,100.47,1.35,4.53,1
198.39,9.59,99.78,8,36.27,26.39,77.14,424.02,8.98,4.59,2
139.42,8.11,93.92,12,12.12,18.3,67.05,242.46,8.88,9.15,1
125.22,7.07,79.9,8,12.97,19.72,49.07,330.52,2.11,1.63,1
148.6,5.21,100.0,12,24.57,23.99,71.92,614.12,9.18,8.38,1
139.43,6.19,86.41,10,24.02,29.66,40.12,245.2,8.47,6.89,1
125.99,9.42,78.74,12,40.37,21.89,51.16,716.74,7.3,8.68,1
112.05,8.99,87.52,3,30.7,22.84,80.76,94.33,9.44,9.26,1
203.04,5.65,100.0,2,13.11,30.18,66.38,392.7,3.18,4.83,2
270.37,11.54,100.0,11,22.3,33.03,95.69,251.49,1.99,8.95,3
185.37,8.21,85.48,8,17.43,25.71,64.13,164.91,1.81,9.2,2
109.32,10.44,78.27,8,35.02,28.31,48.81,446.75,7.56,3.71,1
75.93,2.25,91.89,11,15.01,38.39,52.59,176.04,7.7,9.27,1
78.88,6.99,94.62,1,32.47,28.49,51.1,399.98,8.17,8.5,1
496.96,10.48,110.0,8,15.33,23.15,115.0,316.71,6.71,2.68,3
